product,region,channel,market_tier,date,units,price,revenue,year,month,quarter,year_month,asp
Product C,North,Retail,A,2023-10-01,840,35.7996300919913,30071.6892772727,2023,10,4,2023-10,35.79963009199131
Product C,North,Retail,A,2023-11-01,1385,36.4794445604784,50524.0307162626,2023,11,4,2023-11,36.47944456047841
Product C,North,Retail,A,2023-12-01,851,34.7916022924474,29607.6535508727,2023,12,4,2023-12,34.79160229244736
Product C,North,Retail,A,2024-01-01,1557,35.7195117340889,55615.2797699764,2024,1,1,2024-01,35.71951173408889
Product C,North,Retail,A,2024-02-01,1326,36.1085367683554,47879.9197548393,2024,2,1,2024-02,36.10853676835543
Product C,North,Retail,A,2024-03-01,854,34.9531325969147,29849.9752377651,2024,3,1,2024-03,34.953132596914635
Product C,North,Retail,A,2024-04-01,809,36.2004979614867,29286.2028508427,2024,4,2,2024-04,36.20049796148665
Product C,North,Retail,A,2024-05-01,878,34.9750583920395,30708.1012682107,2024,5,2,2024-05,34.97505839203952
Product C,North,Retail,A,2024-06-01,1121,33.3118422642583,37342.5751782336,2024,6,2,2024-06,33.31184226425834
Product C,North,Retail,A,2024-07-01,862,34.7916284028906,29990.3836832917,2024,7,3,2024-07,34.7916284028906
Product C,North,Retail,A,2024-08-01,843,34.9227363200625,29439.8667178127,2024,8,3,2024-08,34.92273632006251
Product C,North,Retail,A,2024-09-01,727,35.354342008708,25702.6066403307,2024,9,3,2024-09,35.35434200870798
Product C,North,Retail,A,2024-10-01,1005,34.8013635318493,34975.3703495086,2024,10,4,2024-10,34.801363531849354
Product C,North,Retail,A,2024-11-01,838,34.3251210498856,28764.4514398042,2024,11,4,2024-11,34.32512104988568
Product C,North,Retail,A,2024-12-01,674,35.6054622574011,23998.0815614883,2024,12,4,2024-12,35.60546225740104
Product D,North,Retail,A,2022-01-01,546,30.3273427924141,16558.7291646581,2022,1,1,2022-01,30.3273427924141
Product D,North,Retail,A,2022-02-01,757,31.4210356234107,23785.7239669219,2022,2,1,2022-02,31.421035623410702
Product D,North,Retail,A,2022-03-01,523,29.0275041370187,15181.3846636608,2022,3,1,2022-03,29.027504137018738
Product D,North,Retail,A,2022-04-01,810,31.4196794244926,25449.940333839,2022,4,2,2022-04,31.419679424492593
Product D,North,Retail,A,2022-05-01,466,30.2379514162894,14090.8853599909,2022,5,2,2022-05,30.237951416289484
Product D,North,Retail,A,2022-06-01,691,30.714375781361,21223.6336649205,2022,6,2,2022-06,30.71437578136107
Product D,North,Retail,A,2022-07-01,696,31.0974536673166,21643.8277524523,2022,7,3,2022-07,31.097453667316522
Product D,North,Retail,A,2022-08-01,661,30.4424583117943,20122.464944096,2022,8,3,2022-08,30.442458311794248
Product D,North,Retail,A,2022-09-01,631,30.584088353673,19298.5597511677,2022,9,3,2022-09,30.58408835367306
Product D,North,Retail,A,2022-10-01,578,31.4877163146157,18199.9000298479,2022,10,4,2022-10,31.487716314615746
Product D,North,Retail,A,2022-11-01,550,31.0481201999355,17076.466109964502,2022,11,4,2022-11,31.048120199935457
Product D,North,Retail,A,2022-12-01,528,30.7974667148665,16261.0624254495,2022,12,4,2022-12,30.797466714866477
Product D,North,Retail,A,2023-01-01,640,28.9129959696438,18504.317420572,2023,1,1,2023-01,28.91299596964375
Product D,North,Retail,A,2023-02-01,492,28.7855668023694,14162.4988667658,2023,2,1,2023-02,28.785566802369512
Product D,North,Retail,A,2023-03-01,553,30.0655446806923,16626.2462084228,2023,3,1,2023-03,30.065544680692224
Product D,North,Retail,A,2023-04-01,677,29.0773829163518,19685.3882343702,2023,4,2,2023-04,29.077382916351844
Product D,North,Retail,A,2023-05-01,1147,30.6943955342285,35206.4716777601,2023,5,2,2023-05,30.69439553422851
Product D,North,Retail,A,2023-06-01,616,29.9837609364185,18469.9967368338,2023,6,2,2023-06,29.983760936418506
Product D,North,Retail,A,2023-07-01,671,28.9282774601597,19410.8741757672,2023,7,3,2023-07,28.928277460159762
Product D,North,Retail,A,2023-08-01,647,31.0236509072129,20072.3021369667,2023,8,3,2023-08,31.02365090721283
Product D,North,Retail,A,2023-09-01,500,31.3239118780475,15661.9559390238,2023,9,3,2023-09,31.3239118780476
Product D,North,Retail,A,2023-10-01,690,29.3339024309535,20240.3926773579,2023,10,4,2023-10,29.33390243095348
Product D,North,Retail,A,2023-11-01,1010,28.9511378633324,29240.6492419657,2023,11,4,2023-11,28.951137863332377
Product D,North,Retail,A,2023-12-01,791,30.6200203278568,24220.4360793347,2023,12,4,2023-12,30.620020327856764
Product D,North,Retail,A,2024-01-01,650,30.19601578312,19627.410259028,2024,1,1,2024-01,30.196015783120004
Product D,North,Retail,A,2024-02-01,581,28.7715073227882,16716.24575454,2024,2,1,2024-02,28.771507322788295
Product D,North,Retail,A,2024-03-01,387,30.1810212212149,11680.0552126102,2024,3,1,2024-03,30.181021221214984
Product D,North,Retail,A,2024-04-01,991,30.3457801896147,30072.6681679082,2024,4,2,2024-04,30.345780189614732
Product D,North,Retail,A,2024-05-01,520,30.1452598068863,15675.5350995809,2024,5,2,2024-05,30.145259806886347
Product D,North,Retail,A,2024-06-01,903,29.6804728461429,26801.4669800671,2024,6,2,2024-06,29.68047284614297
Product D,North,Retail,A,2024-07-01,1055,29.7500044517219,31386.2546965666,2024,7,3,2024-07,29.750004451721896
Product D,North,Retail,A,2024-08-01,458,31.2147327647544,14296.3476062575,2024,8,3,2024-08,31.214732764754366
Product D,North,Retail,A,2024-09-01,785,30.5208659525961,23958.8797727879,2024,9,3,2024-09,30.52086595259605
Product D,North,Retail,A,2024-10-01,680,31.3643706960138,21327.7720732894,2024,10,4,2024-10,31.364370696013825
Product D,North,Retail,A,2024-11-01,492,28.9536955403164,14245.2182058357,2024,11,4,2024-11,28.953695540316463
Product D,North,Retail,A,2024-12-01,500,30.1792249144055,15089.6124572027,2024,12,4,2024-12,30.1792249144054
Product A,South,Retail,C,2022-01-01,563,47.9931787541136,27020.159638566,2022,1,1,2022-01,47.99317875411368
Product A,South,Retail,C,2022-02-01,738,50.6172498338856,37355.5303774076,2022,2,1,2022-02,50.61724983388564
Product A,South,Retail,C,2022-03-01,586,48.7818637990858,28586.1721862643,2022,3,1,2022-03,48.78186379908583
Product A,South,Retail,C,2022-04-01,1158,49.8963328229729,57779.9534090026,2022,4,2,2022-04,49.89633282297288
Product A,South,Retail,C,2022-05-01,1653,49.8857175314333,82461.0910794593,2022,5,2,2022-05,49.88571753143333
Product A,South,Retail,C,2022-06-01,711,51.6524570819456,36724.8969852633,2022,6,2,2022-06,51.65245708194557
Product A,South,Retail,C,2022-07-01,1041,51.9778875634074,54108.9809535071,2022,7,3,2022-07,51.9778875634074
Product A,South,Retail,C,2022-08-01,1040,50.3843786055222,52399.7537497431,2022,8,3,2022-08,50.38437860552221
Product A,South,Retail,C,2022-09-01,935,52.2189754573628,48824.7420526343,2022,9,3,2022-09,52.21897545736289
Product A,South,Retail,C,2022-10-01,738,48.9591765240766,36131.8722747685,2022,10,4,2022-10,48.95917652407656
Product A,South,Retail,C,2022-11-01,924,50.6265963823534,46778.9750572946,2022,11,4,2022-11,50.62659638235346
Product A,South,Retail,C,2022-12-01,890,50.6009193172213,45034.8181923269,2022,12,4,2022-12,50.60091931722123
Product A,South,Retail,C,2023-01-01,1002,50.7430892623961,50844.5754409209,2023,1,1,2023-01,50.743089262396104
Product A,South,Retail,C,2023-02-01,796,48.6745530413464,38744.9442209117,2023,2,1,2023-02,48.67455304134635
Product A,South,Retail,C,2023-03-01,1118,49.5187646651175,55361.9788956014,2023,3,1,2023-03,49.51876466511753
Product A,South,Retail,C,2023-04-01,920,48.3547491056379,44486.3691771869,2023,4,2,2023-04,48.354749105637936
Product A,South,Retail,C,2023-05-01,1318,50.0958151440136,66026.2843598099,2023,5,2,2023-05,50.09581514401358
Product A,South,Retail,C,2023-06-01,781,50.4218069009948,39379.431189677,2023,6,2,2023-06,50.42180690099488
Product A,South,Retail,C,2023-07-01,646,47.9003909020685,30943.6525227362,2023,7,3,2023-07,47.90039090206842
Product A,South,Retail,C,2023-08-01,1998,51.1445126263425,102186.736227432,2023,8,3,2023-08,51.14451262634235
Product A,South,Retail,C,2023-09-01,803,50.5703326466028,40607.977115222,2023,9,3,2023-09,50.570332646602736
Product A,South,Retail,C,2023-10-01,1059,50.8544788009022,53854.8930501554,2023,10,4,2023-10,50.85447880090217
Product A,South,Retail,C,2023-11-01,1156,48.9806677971501,56621.6519735055,2023,11,4,2023-11,48.98066779715008
Product A,South,Retail,C,2023-12-01,876,49.3028425087687,43189.2900376813,2023,12,4,2023-12,49.302842508768606
Product A,South,Retail,C,2024-01-01,1026,50.6553314428311,51972.3700603447,2024,1,1,2024-01,50.65533144283109
Product A,South,Retail,C,2024-02-01,991,52.3005296837073,51829.8249165539,2024,2,1,2024-02,52.30052968370727
Product A,South,Retail,C,2024-03-01,859,49.3233918503392,42368.7935994414,2024,3,1,2024-03,49.323391850339235
Product A,South,Retail,C,2024-04-01,1063,48.4899495949503,51544.8164194322,2024,4,2,2024-04,48.48994959495033
Product A,South,Retail,C,2024-05-01,1039,48.7705438176636,50672.5950265524,2024,5,2,2024-05,48.77054381766352
Product A,South,Retail,C,2024-06-01,1790,49.9265133973677,89368.4589812881,2024,6,2,2024-06,49.92651339736766
Product A,South,Retail,C,2024-07-01,762,49.5664082444273,37769.6030822536,2024,7,3,2024-07,49.566408244427294
Product A,South,Retail,C,2024-08-01,699,49.1412266506813,34349.7174288263,2024,8,3,2024-08,49.141226650681396
Product A,South,Retail,C,2024-09-01,931,49.2842248524539,45883.6133376346,2024,9,3,2024-09,49.28422485245392
Product A,South,Retail,C,2024-10-01,1099,50.9192962711677,55960.3066020133,2024,10,4,2024-10,50.919296271167696
Product A,South,Retail,C,2024-11-01,1137,51.815746325301,58914.5035718672,2024,11,4,2024-11,51.81574632530097
Product A,South,Retail,C,2024-12-01,912,49.8448436812032,45458.4974372573,2024,12,4,2024-12,49.84484368120318
Product B,South,Retail,C,2022-01-01,483,40.3314283909276,19480.079912818,2022,1,1,2022-01,40.331428390927535
Product B,South,Retail,C,2022-02-01,867,39.9942398723215,34675.0059693027,2022,2,1,2022-02,39.99423987232145
Product B,South,Retail,C,2022-03-01,581,40.6692314296961,23628.8234606534,2022,3,1,2022-03,40.66923142969604
Product B,South,Retail,C,2022-04-01,589,40.7514930497855,24002.6294063237,2022,4,2,2022-04,40.751493049785566
Product B,South,Retail,C,2022-05-01,691,38.4293197002262,26554.6599128563,2022,5,2,2022-05,38.429319700226195
Product B,South,Retail,C,2022-06-01,700,38.4488370744511,26914.1859521158,2022,6,2,2022-06,38.44883707445114
Product B,South,Retail,C,2022-07-01,847,41.7311207037419,35346.2592360694,2022,7,3,2022-07,41.731120703741915
Product B,South,Retail,C,2022-08-01,657,39.6875035008416,26074.6898000529,2022,8,3,2022-08,39.68750350084155
Product B,South,Retail,C,2022-09-01,779,40.2532459413633,31357.278588322,2022,9,3,2022-09,40.25324594136328
Product B,South,Retail,C,2022-10-01,628,41.8249687515199,26266.0803759545,2022,10,4,2022-10,41.824968751519904
Product B,South,Retail,C,2022-11-01,753,38.7836842909455,29204.114271082,2022,11,4,2022-11,38.78368429094555
Product B,South,Retail,C,2022-12-01,660,38.8949857810512,25670.6906154938,2022,12,4,2022-12,38.89498578105121
Product B,South,Retail,C,2023-01-01,669,40.4854279058054,27084.7512689838,2023,1,1,2023-01,40.48542790580538
Product B,South,Retail,C,2023-02-01,524,41.3382665505633,21661.2516724952,2023,2,1,2023-02,41.33826655056336
Product B,South,Retail,C,2023-03-01,473,41.2318734992296,19502.6761651356,2023,3,1,2023-03,41.23187349922959
Product B,South,Retail,C,2023-04-01,1248,38.604293811135,48178.1586762965,2023,4,2,2023-04,38.604293811135015
Product B,South,Retail,C,2023-05-01,883,38.3329146606848,33847.9636453846,2023,5,2,2023-05,38.332914660684715
Product B,South,Retail,C,2023-06-01,557,41.1157224886119,22901.4574261568,2023,6,2,2023-06,41.11572248861185
Product B,South,Retail,C,2023-07-01,570,41.8179850112647,23836.2514564209,2023,7,3,2023-07,41.81798501126474
Product B,South,Retail,C,2023-08-01,495,40.4736057231203,20034.4348329445,2023,8,3,2023-08,40.4736057231202
Product B,South,Retail,C,2023-09-01,1158,39.7488652113825,46029.1859147809,2023,9,3,2023-09,39.74886521138247
Product B,South,Retail,C,2023-10-01,1023,40.6576859168708,41592.8126929589,2023,10,4,2023-10,40.65768591687087
Product B,South,Retail,C,2023-11-01,692,41.4755696486682,28701.0941968784,2023,11,4,2023-11,41.475569648668206
Product B,South,Retail,C,2023-12-01,849,40.010485813953,33968.9024560461,2023,12,4,2023-12,40.010485813953
Product B,South,Retail,C,2024-01-01,609,40.1152121080086,24430.1641737772,2024,1,1,2024-01,40.11521210800854
Product B,South,Retail,C,2024-02-01,602,41.0829741526395,24731.950439889,2024,2,1,2024-02,41.08297415263953
Product B,South,Retail,C,2024-03-01,558,39.4791399743408,22029.3601056822,2024,3,1,2024-03,39.47913997434086
Product B,South,Retail,C,2024-04-01,676,41.762010791339,28231.1192949452,2024,4,2,2024-04,41.76201079133906
Product B,South,Retail,C,2024-05-01,1188,38.1330350907519,45302.0456878133,2024,5,2,2024-05,38.13303509075193
Product B,South,Retail,C,2024-06-01,778,39.3531099837273,30616.7195673399,2024,6,2,2024-06,39.35310998372738
Product B,South,Retail,C,2024-07-01,708,38.5425141938031,27288.1000492126,2024,7,3,2024-07,38.54251419380311
Product B,South,Retail,C,2024-08-01,733,39.3484990755096,28842.4498223485,2024,8,3,2024-08,39.34849907550955
Product B,South,Retail,C,2024-09-01,941,39.9340492077172,37577.9403044619,2024,9,3,2024-09,39.934049207717216
Product B,South,Retail,C,2024-10-01,670,41.0286270286888,27489.1801092215,2024,10,4,2024-10,41.0286270286888
Product B,South,Retail,C,2024-11-01,597,41.184491975233,24587.1417092141,2024,11,4,2024-11,41.184491975232994
Product B,South,Retail,C,2024-12-01,1166,39.6658344827592,46250.3630068973,2024,12,4,2024-12,39.665834482759266
Product C,South,Retail,C,2022-01-01,439,33.354789381614,14642.7525385285,2022,1,1,2022-01,33.3547893816139
Product C,South,Retail,C,2022-02-01,410,36.5342320186319,14979.0351276391,2022,2,1,2022-02,36.53423201863195
Product C,South,Retail,C,2022-03-01,362,36.4542592300568,13196.4418412806,2022,3,1,2022-03,36.454259230056905
Product C,South,Retail,C,2022-04-01,412,35.3923974293284,14581.6677408833,2022,4,2,2022-04,35.3923974293284
Product C,South,Retail,C,2022-05-01,494,36.4668222819455,18014.6102072811,2022,5,2,2022-05,36.46682228194555
Product C,South,Retail,C,2022-06-01,668,35.4419065808179,23675.1935959863,2022,6,2,2022-06,35.441906580817815
Product C,South,Retail,C,2022-07-01,658,33.6925877976464,22169.7227708513,2022,7,3,2022-07,33.69258779764635
Product C,South,Retail,C,2022-08-01,597,33.7492457327899,20148.2997024755,2022,8,3,2022-08,33.74924573278978
Product C,South,Retail,C,2022-09-01,458,35.6357535114512,16321.1751082446,2022,9,3,2022-09,35.63575351145109
Product C,South,Retail,C,2022-10-01,562,36.4805868599797,20502.0898153086,2022,10,4,2022-10,36.48058685997971
Product C,South,Retail,C,2022-11-01,466,33.7772835018113,15740.2141118441,2022,11,4,2022-11,33.777283501811375
Product C,South,Retail,C,2022-12-01,466,36.3469639581163,16937.6852044822,2022,12,4,2022-12,36.34696395811631
Product C,South,Retail,C,2023-01-01,634,34.8256391739706,22079.4552362973,2023,1,1,2023-01,34.82563917397051
Product C,South,Retail,C,2023-02-01,395,33.4133449741639,13198.2712647947,2023,2,1,2023-02,33.4133449741638
Product C,South,Retail,C,2023-03-01,833,36.1321381562157,30098.0710841276,2023,3,1,2023-03,36.13213815621561
Product C,South,Retail,C,2023-04-01,576,36.631999841542,21100.0319087282,2023,4,2,2023-04,36.63199984154201
Product C,South,Retail,C,2023-05-01,623,36.0758852625731,22475.2765185831,2023,5,2,2023-05,36.075885262573195
Product C,South,Retail,C,2023-06-01,493,34.2868845422054,16903.4340793072,2023,6,2,2023-06,34.28688454220527
Product C,South,Retail,C,2023-07-01,448,33.9426222484326,15206.2947672978,2023,7,3,2023-07,33.94262224843259
Product C,South,Retail,C,2023-08-01,373,33.9558552404633,12665.5340046928,2023,8,3,2023-08,33.95585524046327
Product C,South,Retail,C,2023-09-01,497,34.4732944027055,17133.2273181446,2023,9,3,2023-09,34.473294402705434
Product C,South,Retail,C,2023-10-01,637,34.0342970220372,21679.8472030377,2023,10,4,2023-10,34.03429702203721
Product C,South,Retail,C,2023-11-01,624,33.8257209850708,21107.2498946842,2023,11,4,2023-11,33.82572098507083
Product C,South,Retail,C,2023-12-01,474,33.5745548285777,15914.3389887458,2023,12,4,2023-12,33.57455482857764
Product C,South,Retail,C,2024-01-01,432,35.4651496254373,15320.9446381889,2024,1,1,2024-01,35.46514962543727
Product C,South,Retail,C,2024-02-01,465,35.9967592017492,16738.4930288134,2024,2,1,2024-02,35.99675920174924
Product C,South,Retail,C,2024-03-01,769,33.4582125435118,25729.3654459605,2024,3,1,2024-03,33.4582125435117
