municipality,year,sex,age_group,population,education_level,unemployment_rate,employment_rate
Helsingborg,2020,Female,16-19,1490,Medium,10.6,80.2
Helsingborg,2020,Female,20-24,1453,High,8.1,87.4
Helsingborg,2020,Male,16-19,1508,High,3.8,93.3
Helsingborg,2020,Male,20-24,1492,Low,16.8,77.9
Helsingborg,2021,Female,16-19,1436,Medium,14.1,80.5
Helsingborg,2021,Female,20-24,1535,Low,14.4,82
Helsingborg,2021,Male,16-19,1436,Low,15.7,78.3
Helsingborg,2021,Male,20-24,1602,Low,17.1,74.6
Helsingborg,2022,Female,16-19,1518,High,6.3,88.9
Helsingborg,2022,Female,20-24,1542,Low,17.6,81.6
Helsingborg,2022,Male,16-19,1512,Medium,11.1,83.4
Helsingborg,2022,Male,20-24,1464,High,5.8,89.6
Helsingborg,2023,Female,16-19,1459,Medium,9.1,89.8
Helsingborg,2023,Female,20-24,1510,Medium,13.8,85.6
Helsingborg,2023,Male,16-19,1498,High,8.9,91.1
Helsingborg,2023,Male,20-24,1532,Medium,12.4,82.1
Jönköping,2018,Female,16-19,1489,High,9,86.2
Jönköping,2018,Female,20-24,1464,Medium,12.3,82.4
Jönköping,2018,Male,16-19,1538,Medium,7.6,85.9
Jönköping,2018,Male,20-24,1471,Low,22.9,73.9
Jönköping,2019,Female,16-19,1555,Medium,7.5,86.9
Jönköping,2019,Female,20-24,1494,Low,20.2,75.2
Jönköping,2019,Male,16-19,1468,Low,18.8,76.4
Jönköping,2019,Male,20-24,1473,Medium,10.4,87.8
Jönköping,2020,Female,16-19,1468,Low,15.6,78.6
Jönköping,2020,Female,20-24,1540,Low,21.9,72.6
Jönköping,2020,Male,16-19,1495,Medium,12.2,80.4
Jönköping,2020,Male,20-24,1463,Medium,11.7,81.3
Jönköping,2021,Female,16-19,1493,Medium,15.5,80.4
Jönköping,2021,Female,20-24,1509,Low,24.4,71.6
Jönköping,2021,Male,16-19,1536,Medium,10,83.1
Jönköping,2021,Male,20-24,1467,High,8.1,86.1
Jönköping,2022,Female,16-19,1506,Low,9.8,86.1
Jönköping,2022,Female,20-24,1524,High,4,89
Jönköping,2022,Male,16-19,1535,Medium,11.7,84.3
Jönköping,2022,Male,20-24,1505,Low,22.9,72
Jönköping,2023,Female,16-19,1577,High,9.5,87
Jönköping,2023,Female,20-24,1521,Low,14,82.2
Jönköping,2023,Male,16-19,1501,Medium,8.5,89.8
Jönköping,2023,Male,20-24,1479,High,3,90.7
Kommun_100,2018,Female,16-19,1435,Medium,9.2,84.9
Kommun_100,2018,Female,20-24,1478,Low,12.5,84.3
Kommun_100,2018,Male,16-19,1514,Low,18.7,72.3
Kommun_100,2018,Male,20-24,1500,Medium,10.7,88
Kommun_100,2019,Female,16-19,1442,Medium,11.6,81.8
Kommun_100,2019,Female,20-24,1539,Low,14.7,78.1
Kommun_100,2019,Male,16-19,1480,High,4.3,89.4
Kommun_100,2019,Male,20-24,1529,Medium,14,79.7
Kommun_100,2020,Female,16-19,1541,Medium,18.9,75.8
Kommun_100,2020,Female,20-24,1493,Medium,18.2,75.8
Kommun_100,2020,Male,16-19,1511,Medium,14.6,79
Kommun_100,2020,Male,20-24,1519,Medium,13.1,79
Kommun_100,2021,Female,16-19,1525,High,4.2,91.5
Kommun_100,2021,Female,20-24,1483,Medium,10,88.5
Kommun_100,2021,Male,16-19,1536,Medium,9.6,83.7
Kommun_100,2021,Male,20-24,1526,Low,17.7,74.4
Kommun_100,2022,Female,16-19,1489,Medium,16,80.2
Kommun_100,2022,Female,20-24,1522,Medium,15.1,83.2
Kommun_100,2022,Male,16-19,1514,Medium,8.5,86.2
Kommun_100,2022,Male,20-24,1477,Medium,16.7,78.2
Kommun_100,2023,Female,16-19,1479,Medium,10.8,85.5
Kommun_100,2023,Female,20-24,1507,Low,17.3,78.6
Kommun_100,2023,Male,16-19,1477,High,9.3,83.5
Kommun_100,2023,Male,20-24,1534,Low,20.3,74.8
Kommun_101,2018,Female,16-19,1458,High,15.6,77.2
Kommun_101,2018,Female,20-24,1416,Low,20.4,74.1
Kommun_101,2018,Male,16-19,1511,Low,14.6,79.5
Kommun_101,2018,Male,20-24,1448,High,6.8,93.5
Kommun_101,2019,Female,16-19,1539,Medium,15.1,84.2
Kommun_101,2019,Female,20-24,1478,Low,12.9,79.1
Kommun_101,2019,Male,16-19,1472,Medium,12.3,86.7
Kommun_101,2019,Male,20-24,1535,High,7.6,87.7
Kommun_101,2020,Female,16-19,1531,Low,15.8,84.3
Kommun_101,2020,Female,20-24,1520,Low,11.9,82.1
Kommun_101,2020,Male,16-19,1513,Low,12.1,79.9
Kommun_101,2020,Male,20-24,1549,Medium,9.8,81.7
Kommun_101,2021,Female,16-19,1450,Medium,7.8,90.1
Kommun_101,2021,Female,20-24,1421,Low,17.9,76.1
Kommun_101,2021,Male,16-19,1444,High,8.4,85.4
Kommun_101,2021,Male,20-24,1478,Low,15.7,81.9
Kommun_101,2022,Female,16-19,1546,Medium,15,80.5
Kommun_101,2022,Female,20-24,1532,Low,16.2,82.5
Kommun_101,2022,Male,16-19,1514,Low,23.4,70.6
Kommun_101,2022,Male,20-24,1488,High,6,86.1
Kommun_101,2023,Female,16-19,1504,Medium,13,82.7
Kommun_101,2023,Female,20-24,1541,Medium,11,83.8
Kommun_101,2023,Male,16-19,1547,Medium,10.9,85.3
Kommun_101,2023,Male,20-24,1531,Low,15.6,79.3
Kommun_102,2018,Female,16-19,1418,High,6,92.2
Kommun_102,2018,Female,20-24,1505,Low,21,73.8
Kommun_102,2018,Male,16-19,1522,Medium,20.2,73.3
Kommun_102,2018,Male,20-24,1537,Medium,11,83.7
Kommun_102,2019,Female,16-19,1489,Low,21.3,78.9
Kommun_102,2019,Female,20-24,1483,Medium,9.3,85.2
Kommun_102,2019,Male,16-19,1444,Low,20.8,72.7
Kommun_102,2019,Male,20-24,1505,Low,15.6,80.3
Kommun_102,2020,Female,16-19,1487,Low,18.4,78.6
Kommun_102,2020,Female,20-24,1540,High,6.3,88
Kommun_102,2020,Male,16-19,1523,Medium,6.7,87.6
Kommun_102,2020,Male,20-24,1552,Medium,13.6,83.1
Kommun_102,2021,Female,16-19,1495,Medium,16.1,80.6
Kommun_102,2021,Female,20-24,1474,Medium,8.8,83.3
Kommun_102,2021,Male,16-19,1529,Medium,4,89.7
Kommun_102,2021,Male,20-24,1552,Medium,8.3,85.2
Kommun_102,2022,Female,16-19,1486,Medium,11.5,85
Kommun_102,2022,Female,20-24,1494,Medium,11.8,81.1
Kommun_102,2022,Male,16-19,1473,Medium,14,81.3
Kommun_102,2022,Male,20-24,1468,High,6.8,88.1
Kommun_102,2023,Female,16-19,1505,High,3,93.5
Kommun_102,2023,Female,20-24,1526,Medium,3,91.9
Kommun_102,2023,Male,16-19,1459,High,9.3,83.1
Kommun_102,2023,Male,20-24,1475,Low,18,78.8
Kommun_103,2018,Female,16-19,1435,High,8.6,83.6
Kommun_103,2018,Female,20-24,1458,Medium,9.9,85.3
Kommun_103,2018,Male,16-19,1508,Low,21.5,73.2
Kommun_103,2018,Male,20-24,1484,Low,21.9,72.6
Kommun_103,2019,Female,16-19,1514,Medium,15,81.6
Kommun_103,2019,Female,20-24,1450,Medium,14.4,78.6
Kommun_103,2019,Male,16-19,1452,Medium,13.1,77.7
Kommun_103,2019,Male,20-24,1486,Medium,13.6,81.4
Kommun_103,2020,Female,16-19,1487,Medium,15.5,83.8
Kommun_103,2020,Female,20-24,1457,Medium,14.6,80.9
Kommun_103,2020,Male,16-19,1547,Low,20,71.8
Kommun_103,2020,Male,20-24,1499,Low,18.6,75.4
Kommun_103,2021,Female,16-19,1497,Low,15.5,81.9
Kommun_103,2021,Female,20-24,1497,Medium,13.3,82.4
Kommun_103,2021,Male,16-19,1524,Low,14,81
Kommun_103,2021,Male,20-24,1481,High,5.8,84.6
Kommun_103,2022,Female,16-19,1454,Medium,15.9,81.5
Kommun_103,2022,Female,20-24,1448,High,6.1,88.1
Kommun_103,2022,Male,16-19,1478,Low,12.9,80.8
Kommun_103,2022,Male,20-24,1509,Low,15.7,78.5
Kommun_103,2023,Female,16-19,1523,High,10.1,84.9
Kommun_103,2023,Female,20-24,1533,Low,14.5,80.5
Kommun_103,2023,Male,16-19,1508,Medium,3.9,93.6
Kommun_103,2023,Male,20-24,1454,Low,20.8,71
Kommun_104,2018,Female,16-19,1523,Medium,12.9,82.8
Kommun_104,2018,Female,20-24,1523,Medium,15.7,82.5
Kommun_104,2018,Male,16-19,1524,Low,15.1,81.5
Kommun_104,2018,Male,20-24,1513,Low,20.5,75.2
Kommun_104,2019,Female,16-19,1576,Low,19.1,73.2
Kommun_104,2019,Female,20-24,1490,Low,20.2,73.8
Kommun_104,2019,Male,16-19,1519,Medium,10.4,84.1
Kommun_104,2019,Male,20-24,1551,Medium,9.3,83.5
Kommun_104,2020,Female,16-19,1517,High,9.7,85.1
Kommun_104,2020,Female,20-24,1489,Medium,15.7,79.4
Kommun_104,2020,Male,16-19,1490,Low,18.4,75.4
Kommun_104,2020,Male,20-24,1501,Medium,13.3,82.6
Kommun_104,2021,Female,16-19,1520,Medium,16.2,78.9
Kommun_104,2021,Female,20-24,1585,High,8,87.2
Kommun_104,2021,Male,16-19,1549,Medium,15.4,81.6
Kommun_104,2021,Male,20-24,1497,Medium,9.7,83.4
Kommun_104,2022,Female,16-19,1461,Medium,15.1,79.5
Kommun_104,2022,Female,20-24,1478,Low,16.8,76.1
Kommun_104,2022,Male,16-19,1416,Low,21.2,71.4
Kommun_104,2022,Male,20-24,1512,Low,22.8,72.1
Kommun_104,2023,Female,16-19,1542,Medium,7.9,90.9
Kommun_104,2023,Female,20-24,1527,Low,12.1,83.1
Kommun_104,2023,Male,16-19,1544,Medium,17,80.1
Kommun_104,2023,Male,20-24,1566,Medium,14.2,83
Kommun_105,2018,Female,16-19,1588,Medium,10.4,83.4
Kommun_105,2018,Female,20-24,1439,Medium,12.2,84.6
Kommun_105,2018,Male,16-19,1531,Low,14.7,78.9
Kommun_105,2018,Male,20-24,1577,Medium,9.6,82.7
Kommun_105,2019,Female,16-19,1455,Low,19.7,76.5
Kommun_105,2019,Female,20-24,1523,Medium,10.7,82.6
Kommun_105,2019,Male,16-19,1521,Medium,13.4,83.4
Kommun_105,2019,Male,20-24,1498,Low,17.2,76.9
Kommun_105,2020,Female,16-19,1463,Medium,9.7,82.9
Kommun_105,2020,Female,20-24,1513,Medium,9.8,86.5
Kommun_105,2020,Male,16-19,1528,Medium,4.4,86.4
Kommun_105,2020,Male,20-24,1446,Medium,3.6,92.1
Kommun_105,2021,Female,16-19,1488,Medium,3.7,94.6
Kommun_105,2021,Female,20-24,1453,High,3,89.2
Kommun_105,2021,Male,16-19,1572,Medium,15.4,76.7
Kommun_105,2021,Male,20-24,1541,Medium,17,75.7
Kommun_105,2022,Female,16-19,1531,High,8.9,85
Kommun_105,2022,Female,20-24,1487,High,6.7,90.3
Kommun_105,2022,Male,16-19,1514,Low,18.5,75.1
Kommun_105,2022,Male,20-24,1484,Low,14.5,79.4
Kommun_105,2023,Female,16-19,1532,Medium,15.4,76.2
Kommun_105,2023,Female,20-24,1549,Low,22.1,73.2
Kommun_105,2023,Male,16-19,1523,Medium,9.8,86.2
Kommun_105,2023,Male,20-24,1524,Medium,11.8,81.6
Kommun_106,2018,Female,16-19,1518,Medium,7.7,86.2
Kommun_106,2018,Female,20-24,1534,Low,20.6,75.2
Kommun_106,2018,Male,16-19,1545,Medium,13.1,78.4
Kommun_106,2018,Male,20-24,1454,Medium,6.9,86.8
Kommun_106,2019,Female,16-19,1409,Medium,13.2,81.2
Kommun_106,2019,Female,20-24,1495,Medium,15.7,80.2
Kommun_106,2019,Male,16-19,1526,High,7.9,85.8
Kommun_106,2019,Male,20-24,1395,Medium,14.6,80.8
Kommun_106,2020,Female,16-19,1494,Low,18.5,76.5
Kommun_106,2020,Female,20-24,1476,Low,15.8,77.3
Kommun_106,2020,Male,16-19,1449,Medium,14.7,79.3
Kommun_106,2020,Male,20-24,1554,Medium,18.8,77.6
Kommun_106,2021,Female,16-19,1468,Low,17.7,77.8
Kommun_106,2021,Female,20-24,1522,Medium,9.1,84.8
Kommun_106,2021,Male,16-19,1401,Medium,14,82.2
Kommun_106,2021,Male,20-24,1550,Low,17.3,76.5
Kommun_106,2022,Female,16-19,1493,Medium,11.9,81.6
Kommun_106,2022,Female,20-24,1471,Low,14.4,81.6
Kommun_106,2022,Male,16-19,1532,Low,14.7,77.4
Kommun_106,2022,Male,20-24,1582,Low,11.4,80.6
Kommun_106,2023,Female,16-19,1441,Low,16.9,75.8
Kommun_106,2023,Female,20-24,1469,High,10.5,83.2
Kommun_106,2023,Male,16-19,1530,Low,17.9,77.3
Kommun_106,2023,Male,20-24,1549,Low,20.7,74.6
Kommun_107,2018,Female,16-19,1480,High,9.5,85.8
Kommun_107,2018,Female,20-24,1533,High,9,88
Kommun_107,2018,Male,16-19,1442,Medium,3,92.8
Kommun_107,2018,Male,20-24,1592,Medium,15.6,80.3
Kommun_107,2019,Female,16-19,1480,Low,16.4,75.5
Kommun_107,2019,Female,20-24,1505,High,4.3,92.5
Kommun_107,2019,Male,16-19,1496,Medium,11.1,84.7
Kommun_107,2019,Male,20-24,1434,Medium,11.3,83.1
Kommun_107,2020,Female,16-19,1519,Medium,15,79
Kommun_107,2020,Female,20-24,1599,Medium,6,90
Kommun_107,2020,Male,16-19,1472,Low,19,72.9
Kommun_107,2020,Male,20-24,1499,Low,19.1,72.9
Kommun_107,2021,Female,16-19,1516,Medium,11.8,86.7
Kommun_107,2021,Female,20-24,1477,Low,18.8,75.5
Kommun_107,2021,Male,16-19,1513,High,10.4,85.4
Kommun_107,2021,Male,20-24,1440,Low,15.9,80.4
Kommun_107,2022,Female,16-19,1445,Low,16,81.6
Kommun_107,2022,Female,20-24,1497,High,8.7,84.8
Kommun_107,2022,Male,16-19,1545,Low,20.6,73.8
Kommun_107,2022,Male,20-24,1464,Low,21.2,75.4
Kommun_107,2023,Female,16-19,1511,Low,22.9,72.3
Kommun_107,2023,Female,20-24,1521,Medium,13.9,82.1
Kommun_107,2023,Male,16-19,1517,Medium,6.5,88.2
Kommun_107,2023,Male,20-24,1490,Low,17.8,77.7
Kommun_108,2018,Female,16-19,1554,Medium,9.5,87.1
Kommun_108,2018,Female,20-24,1517,Low,18.1,75.3
Kommun_108,2018,Male,16-19,1510,Medium,11.8,83.8
Kommun_108,2018,Male,20-24,1439,Low,20.8,74.1
Kommun_108,2019,Female,16-19,1506,Medium,5.3,89.2
Kommun_108,2019,Female,20-24,1469,Low,15.8,78.8
Kommun_108,2019,Male,16-19,1473,Medium,9,84
Kommun_108,2019,Male,20-24,1473,Medium,12.3,85.1
Kommun_108,2020,Female,16-19,1552,High,5.2,89.2
Kommun_108,2020,Female,20-24,1503,Medium,13.5,81.6
Kommun_108,2020,Male,16-19,1454,High,13.6,83
Kommun_108,2020,Male,20-24,1528,Medium,11.8,84.8
Kommun_108,2021,Female,16-19,1545,High,4.5,91.6
Kommun_108,2021,Female,20-24,1491,Medium,10.8,85.9
Kommun_108,2021,Male,16-19,1574,Medium,5.8,88
Kommun_108,2021,Male,20-24,1499,High,8.6,88.4
Kommun_108,2022,Female,16-19,1526,High,5.7,91.4
Kommun_108,2022,Female,20-24,1456,High,12.6,80.9
Kommun_108,2022,Male,16-19,1459,Low,20,77.6
Kommun_108,2022,Male,20-24,1541,Medium,14.1,81.6
Kommun_108,2023,Female,16-19,1460,Low,21.2,75.5
Kommun_108,2023,Female,20-24,1484,Low,16.3,74.7
Kommun_108,2023,Male,16-19,1557,High,9.2,85.9
Kommun_108,2023,Male,20-24,1476,Medium,15.6,79.9
Kommun_109,2018,Female,16-19,1507,Medium,14.3,83
Kommun_109,2018,Female,20-24,1544,Low,17.8,78
Kommun_109,2018,Male,16-19,1490,Medium,14.7,80.3
Kommun_109,2018,Male,20-24,1472,High,10.4,81.8
Kommun_109,2019,Female,16-19,1484,High,5.6,91.7
Kommun_109,2019,Female,20-24,1537,High,12.2,81.3
Kommun_109,2019,Male,16-19,1478,High,7.9,84.9
Kommun_109,2019,Male,20-24,1486,High,9.3,86.4
Kommun_109,2020,Female,16-19,1461,Medium,15.7,79.2
Kommun_109,2020,Female,20-24,1561,Low,19.6,76.5
Kommun_109,2020,Male,16-19,1553,Medium,9,88
Kommun_109,2020,Male,20-24,1515,High,9.2,82.4
Kommun_109,2021,Female,16-19,1407,High,9.5,85
Kommun_109,2021,Female,20-24,1519,Medium,13.4,77.6
Kommun_109,2021,Male,16-19,1485,High,10.3,84.4
Kommun_109,2021,Male,20-24,1524,Medium,11.4,83.9
Kommun_109,2022,Female,16-19,1534,High,11.6,86.4
Kommun_109,2022,Female,20-24,1469,Medium,9.8,85.3
Kommun_109,2022,Male,16-19,1504,Low,17.7,77.7
Kommun_109,2022,Male,20-24,1490,Low,17.1,79.1
Kommun_109,2023,Female,16-19,1432,Low,18.4,77.9
Kommun_109,2023,Female,20-24,1536,Low,20.1,76
Kommun_109,2023,Male,16-19,1546,Medium,7.4,84.6
Kommun_109,2023,Male,20-24,1513,Medium,14.6,80.4
Kommun_11,2018,Female,16-19,1503,Medium,6.8,85.8
Kommun_11,2018,Female,20-24,1572,Low,13,80.8
Kommun_11,2018,Male,16-19,1490,Medium,13.4,84.8
Kommun_11,2018,Male,20-24,1486,Low,25.7,70.6
Kommun_11,2019,Female,16-19,1454,Medium,15.5,77.9
Kommun_11,2019,Female,20-24,1537,Low,18.5,74.8
Kommun_11,2019,Male,16-19,1534,High,9.8,88
Kommun_11,2019,Male,20-24,1451,High,5.5,90
Kommun_11,2020,Female,16-19,1507,Medium,11.1,82.5
Kommun_11,2020,Female,20-24,1499,Low,18,75
Kommun_11,2020,Male,16-19,1518,Low,19.6,76.3
Kommun_11,2020,Male,20-24,1519,Low,19.6,72.7
Kommun_11,2021,Female,16-19,1566,Medium,10.2,86.1
Kommun_11,2021,Female,20-24,1506,Medium,8.9,84.8
Kommun_11,2021,Male,16-19,1502,Medium,14.1,83.8
Kommun_11,2021,Male,20-24,1479,Medium,15.6,78.6
Kommun_11,2022,Female,16-19,1493,High,7.4,87.5
Kommun_11,2022,Female,20-24,1544,Low,15.6,77.4
Kommun_11,2022,Male,16-19,1491,Medium,12.6,82.8
Kommun_11,2022,Male,20-24,1440,Medium,7.3,88.7
Kommun_11,2023,Female,16-19,1452,Medium,13.5,80.3
Kommun_11,2023,Female,20-24,1468,Low,24.4,73.4
Kommun_11,2023,Male,16-19,1509,Medium,9.8,84.9
Kommun_11,2023,Male,20-24,1525,Low,18.5,76.2
Kommun_110,2018,Female,16-19,1561,Medium,12.3,79.3
Kommun_110,2018,Female,20-24,1507,High,5.9,84.9
Kommun_110,2018,Male,16-19,1430,High,8.7,87.1
Kommun_110,2018,Male,20-24,1425,Low,14.4,79.3
Kommun_110,2019,Female,16-19,1512,Low,16,80
Kommun_110,2019,Female,20-24,1480,Medium,10.5,85.2
Kommun_110,2019,Male,16-19,1542,Medium,13.2,82.2
Kommun_110,2019,Male,20-24,1528,Medium,17.2,80
Kommun_110,2020,Female,16-19,1530,Low,17.2,73.2
Kommun_110,2020,Female,20-24,1503,Medium,13.9,82.3
Kommun_110,2020,Male,16-19,1513,Medium,14.3,78.7
Kommun_110,2020,Male,20-24,1469,Medium,10.6,85.9
Kommun_110,2021,Female,16-19,1501,High,6.9,89.1
Kommun_110,2021,Female,20-24,1467,High,9.5,83.6
Kommun_110,2021,Male,16-19,1447,Medium,11.7,82.8
Kommun_110,2021,Male,20-24,1506,Medium,14.8,81.5
Kommun_110,2022,Female,16-19,1553,Medium,11,85.7
Kommun_110,2022,Female,20-24,1481,Medium,15.7,78.2
Kommun_110,2022,Male,16-19,1587,Medium,11.7,86.9
Kommun_110,2022,Male,20-24,1491,High,7.4,87.6
Kommun_110,2023,Female,16-19,1519,High,10.2,88.9
Kommun_110,2023,Female,20-24,1535,Low,19.1,76.8
Kommun_110,2023,Male,16-19,1498,Low,20.7,76.4
Kommun_110,2023,Male,20-24,1515,Medium,14.5,79
Kommun_111,2018,Female,16-19,1510,Medium,12.3,85.1
Kommun_111,2018,Female,20-24,1578,Medium,7.2,88.5
Kommun_111,2018,Male,16-19,1446,Low,21.8,76.5
Kommun_111,2018,Male,20-24,1436,Medium,10.7,83.1
Kommun_111,2019,Female,16-19,1526,Low,12.9,81.9
Kommun_111,2019,Female,20-24,1454,Medium,14.7,78.5
Kommun_111,2019,Male,16-19,1463,Low,18.8,75.4
Kommun_111,2019,Male,20-24,1502,Medium,8.4,87
Kommun_111,2020,Female,16-19,1493,Low,21.4,73.4
Kommun_111,2020,Female,20-24,1476,Low,15.7,80.8
Kommun_111,2020,Male,16-19,1459,High,4.7,91.1
Kommun_111,2020,Male,20-24,1499,Low,23.8,72
Kommun_111,2021,Female,16-19,1527,Medium,10.1,87
Kommun_111,2021,Female,20-24,1527,High,13.6,80.5
Kommun_111,2021,Male,16-19,1469,Low,16.1,77.7
Kommun_111,2021,Male,20-24,1425,Low,18.2,73.5
Kommun_111,2022,Female,16-19,1481,Medium,12.7,80.2
Kommun_111,2022,Female,20-24,1528,Medium,8.2,87.7
Kommun_111,2022,Male,16-19,1557,High,6.1,86.1
Kommun_111,2022,Male,20-24,1542,High,10,89.6
Kommun_111,2023,Female,16-19,1510,Medium,7.3,87.7
Kommun_111,2023,Female,20-24,1426,Low,15,78.4
Kommun_111,2023,Male,16-19,1598,High,7.8,87.2
Kommun_111,2023,Male,20-24,1552,Medium,13.2,82.2
Kommun_112,2018,Female,16-19,1500,Low,18.1,75.3
Kommun_112,2018,Female,20-24,1494,Low,15.4,80
Kommun_112,2018,Male,16-19,1502,High,7.2,87.8
Kommun_112,2018,Male,20-24,1517,High,6.4,90.9
Kommun_112,2019,Female,16-19,1510,Low,17.4,73.7
Kommun_112,2019,Female,20-24,1536,Medium,13.9,83.5
Kommun_112,2019,Male,16-19,1529,Medium,12.2,83.6
Kommun_112,2019,Male,20-24,1494,Low,21.4,73.7
Kommun_112,2020,Female,16-19,1529,High,7.6,87.3
Kommun_112,2020,Female,20-24,1543,Low,24.7,71.9
Kommun_112,2020,Male,16-19,1488,Medium,12,87.6
Kommun_112,2020,Male,20-24,1522,Low,15.3,81.2
Kommun_112,2021,Female,16-19,1459,Low,21.7,71.5
Kommun_112,2021,Female,20-24,1478,Medium,9.6,87.4
Kommun_112,2021,Male,16-19,1481,Low,16.4,80.6
Kommun_112,2021,Male,20-24,1520,Medium,14.8,80.9
Kommun_112,2022,Female,16-19,1608,High,4.8,89.3
Kommun_112,2022,Female,20-24,1481,Medium,9.7,86.1
Kommun_112,2022,Male,16-19,1455,Medium,14.7,80.1
Kommun_112,2022,Male,20-24,1483,Low,22.7,71.6
Kommun_112,2023,Female,16-19,1562,Low,21.1,76.4
Kommun_112,2023,Female,20-24,1515,Medium,16,82.1
Kommun_112,2023,Male,16-19,1508,Low,15.4,80.3
Kommun_112,2023,Male,20-24,1503,Medium,10.6,86.4
Kommun_113,2018,Female,16-19,1416,High,12.3,86.3
Kommun_113,2018,Female,20-24,1444,High,3.7,93.3
Kommun_113,2018,Male,16-19,1473,Medium,9.4,83.7
Kommun_113,2018,Male,20-24,1537,Medium,11.8,82
Kommun_113,2019,Female,16-19,1475,Low,19.1,74.5
Kommun_113,2019,Female,20-24,1530,Medium,14.6,81.5
Kommun_113,2019,Male,16-19,1470,High,8.8,86
Kommun_113,2019,Male,20-24,1515,Medium,15.4,79.2
Kommun_113,2020,Female,16-19,1505,Medium,10.7,87.8
Kommun_113,2020,Female,20-24,1533,Medium,9.7,84
Kommun_113,2020,Male,16-19,1458,Medium,8.8,85.7
Kommun_113,2020,Male,20-24,1543,Low,12.5,81.8
Kommun_113,2021,Female,16-19,1452,Low,18.3,74.9
Kommun_113,2021,Female,20-24,1439,Low,13.8,79.1
Kommun_113,2021,Male,16-19,1500,Medium,12.1,85.6
Kommun_113,2021,Male,20-24,1486,Low,14.4,82.1
Kommun_113,2022,Female,16-19,1508,Low,21.6,71.3
Kommun_113,2022,Female,20-24,1489,Medium,13.7,81.8
Kommun_113,2022,Male,16-19,1522,Medium,14.8,82.8
Kommun_113,2022,Male,20-24,1457,High,6.9,86.7
Kommun_113,2023,Female,16-19,1482,High,6.1,85.4
Kommun_113,2023,Female,20-24,1528,Low,21.1,74.1
Kommun_113,2023,Male,16-19,1521,Medium,15.3,80.9
Kommun_113,2023,Male,20-24,1493,Medium,7.6,86.2
Kommun_114,2018,Female,16-19,1487,Medium,12.1,85.6
Kommun_114,2018,Female,20-24,1528,High,9.2,85.2
Kommun_114,2018,Male,16-19,1501,Medium,14.2,79.4
Kommun_114,2018,Male,20-24,1542,Medium,13.9,80.7
Kommun_114,2019,Female,16-19,1556,High,10.5,86.3
Kommun_114,2019,Female,20-24,1481,Low,15.3,81.5
Kommun_114,2019,Male,16-19,1514,Low,18.4,73.9
Kommun_114,2019,Male,20-24,1565,Medium,18.5,75.2
Kommun_114,2020,Female,16-19,1516,Low,16.6,79.2
Kommun_114,2020,Female,20-24,1531,Low,16.5,82
Kommun_114,2020,Male,16-19,1556,High,11.6,82.8
Kommun_114,2020,Male,20-24,1495,Medium,14.1,80.1
Kommun_114,2021,Female,16-19,1517,Low,17.4,75.5
Kommun_114,2021,Female,20-24,1579,Low,21.2,70.4
Kommun_114,2021,Male,16-19,1492,Medium,7.4,88.7
Kommun_114,2021,Male,20-24,1548,Medium,13.9,79.4
Kommun_114,2022,Female,16-19,1506,Low,19.3,74.7
Kommun_114,2022,Female,20-24,1547,Low,21,73
Kommun_114,2022,Male,16-19,1542,Low,24,68.8
Kommun_114,2022,Male,20-24,1492,Low,20.2,77.9
Kommun_114,2023,Female,16-19,1439,Low,17.3,76.8
